dateiname;Bahnhof;Anzahl Züge;TimeOrder;Deadlock;Postion;Bahnhofslänge
track_35_2923;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2924;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2973;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2982;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2983;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_3032;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_3041;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_3042;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_3091;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_31;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_3100;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_3101;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_3150;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_3158;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_3160;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_32;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_3209;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_3217;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
